STUDENT_ID,GENDER,PLACEMENT,HONOR_OPTED_OR_NOT,EDUCATION_TYPE,ACADEMIC_PROGRAM,COURSE 1 MARKS,COURSE 2 MARKS,COURSE 3 MARKS,COURSE 4 MARKS,COURSE 5 MARKS,PERCENTILE,OVEARLL_GRADE
SB11201210000129,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,71,93,71,93,79,91,FIRST CLASS
SB11201210000137,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,97,38,86,98,78,92,THIRD CLASS
SB11201210005154,M,No,Yes,ACADEMIC,ELECTRONIC ENGINEERING,17,1,18,43,22,7,DISTINCTION
SB11201210007504,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,65,35,76,80,48,67,FIRST CLASS
SB11201210007548,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,94,94,98,100,71,98,FIRST CLASS
SB11201210007568,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,86,15,32,97,36,63,FIRST CLASS
SB11201210007598,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,68,8,50,92,53,59,FIRST CLASS
SB11201210007615,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,97,86,94,97,98,99,THIRD CLASS
SB11201210010208,M,Yes,Yes,TECHNICAL,INDUSTRIAL ENGINEERING,51,57,43,3,19,28,FIRST CLASS
SB11201210013577,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,13,41,22,83,1,18,FIRST CLASS
SB11201210015404,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,96,83,93,100,98,99,THIRD CLASS
SB11201210016082,,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,4,19,79,10,5,29,FIRST CLASS
SB11201210017060,F,No,Yes,ACADEMIC,CIVIL ENGINEERING,41,45,74,56,37,53,FIRST CLASS
SB11201210019041,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,99,82,80,97,83,96,THIRD CLASS
SB11201210023458,F,No,No,ACADEMIC,INDUSTRIAL ENGINEERING,46,61,12,36,76,67,FIRST CLASS
SB11201210024129,F,Yes,Yes,ACADEMIC,ELECTRONIC ENGINEERING,89,64,77,74,30,76,FIRST CLASS
SB11201210024212,M,Yes,Yes,ACADEMIC,ELECTRONIC ENGINEERING,83,69,72,89,8,73,DISTINCTION
SB11201210024226,M,Yes,Yes,ACADEMIC,ELECTRONIC ENGINEERING,85,76,100,94,75,95,DISTINCTION
SB11201210024293,M,Yes,No,ACADEMIC,MECHANICAL ENGINEERING,52,8,12,19,65,22,DISTINCTION
SB11201210024453,M,Yes,Yes,ACADEMIC,ELECTRONIC ENGINEERING,95,86,52,74,59,82,FIRST CLASS
SB11201210024457,M,Yes,Yes,TECHNICAL/ACADEMIC,CIVIL ENGINEERING,99,64,54,89,38,83,FIRST CLASS
SB11201210024464,M,Yes,No,TECHNICAL/ACADEMIC,ELECTRONIC ENGINEERING,40,39,49,60,44,46,FIRST CLASS
SB11201210033482,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,59,25,37,65,14,37,SECOND CLASS
SB11201210034473,,Yes,No,TECHNICAL/ACADEMIC,CIVIL ENGINEERING,94,81,22,88,44,76,FIRST CLASS
SB11201210034479,M,Yes,Yes,TECHNICAL/ACADEMIC,INDUSTRIAL ENGINEERING,96,99,,92,74,97,FIRST CLASS
SB11201210034510,M,Yes,Yes,TECHNICAL/ACADEMIC,ELECTRONIC ENGINEERING,100,92,91,97,91,99,FIRST CLASS
SB11201210034773,M,,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,74,28,15,84,,64,FIRST CLASS
SB11201210034995,M,Yes,,,,96,59,74,97,73,91,FIRST CLASS
SB11201210035092,F,Yes,Yes,TECHNICAL/ACADEMIC,ELECTRIC ENGINEERING,15,47,36,61,35,34,SECOND CLASS
SB11201210035156,F,Yes,Yes,TECHNICAL/ACADEMIC,INDUSTRIAL ENGINEERING,46,61,76,75,66,73,SECOND CLASS
SB11201210035276,M,Yes,Yes,ACADEMIC,ELECTRIC ENGINEERING AND TELECOMMUNICATIONS,98,62,40,28,62,67,SECOND CLASS
SB11201210035394,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,98,100,78,74,93,98,FIRST CLASS
SB11201210035645,M,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,100,92,,100,7,98,FIRST CLASS
SB11201210035831,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,77,82,80,,43,82,THIRD CLASS
SB11201210035865,M,Yes,,ACADEMIC,INDUSTRIAL ENGINEERING,98,15,5,89,76,64,THIRD CLASS
SB11201210035904,M,Yes,Yes,ACADEMIC,,,88,79,98,71,95,FIRST CLASS
SB11201210035990,,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,79,84,78,82,79,88,FIRST CLASS
SB11201210035993,M,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,98,98,79,95,23,94,FIRST CLASS
SB11201210036005,F,Yes,Yes,,INDUSTRIAL ENGINEERING,26,9,53,62,88,47,FIRST CLASS
SB11201210036024,M,,Yes,ACADEMIC,MECHANICAL ENGINEERING,95,61,89,,46,90,THIRD CLASS
SB11201210036284,F,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,70,79,89,88,58,86,FIRST CLASS
SB11201210036425,F,Yes,Yes,TECHNICAL,INDUSTRIAL ENGINEERING,60,77,45,74,89,77,SECOND CLASS
SB11201210036456,F,No,Yes,TECHNICAL,INDUSTRIAL ENGINEERING,31,67,50,65,12,44,FIRST CLASS
SB11201210036779,M,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,96,93,87,92,31,92,SECOND CLASS
SB11201210036848,M,Yes,Yes,ACADEMIC,ELECTRONIC ENGINEERING,92,96,95,95,78,97,FIRST CLASS
SB11201210036861,M,Yes,Yes,ACADEMIC,ELECTRONIC ENGINEERING,97,93,100,97,46,97,FIRST CLASS
SB11201210036877,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,95,19,5,96,63,63,THIRD CLASS
SB11201210036911,,Yes,Yes,,INDUSTRIAL ENGINEERING,93,71,90,88,11,82,FIRST CLASS
SB11201210037059,M,No,Yes,TECHNICAL,MECHANICAL ENGINEERING,71,7,56,22,43,35,SECOND CLASS
SB11201210037082,M,Yes,Yes,TECHNICAL,INDUSTRIAL ENGINEERING,81,55,78,59,77,77,SECOND CLASS
SB11201210037275,F,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,57,5,15,73,78,39,FIRST CLASS
SB11201210037357,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,90,90,86,100,67,96,FIRST CLASS
SB11201210037436,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,79,95,9,72,88,77,FIRST CLASS
SB11201210037523,F,Yes,,TECHNICAL,INDUSTRIAL ENGINEERING,75,71,92,69,99,92,SECOND CLASS
SB11201210037798,M,No,Yes,TECHNICAL,,77,29,65,51,71,63,FIRST CLASS
SB11201210037866,M,Yes,Yes,TECHNICAL,ELECTRONIC ENGINEERING,99,77,27,68,8,64,FIRST CLASS
SB11201210038129,F,Yes,Yes,TECHNICAL,INDUSTRIAL ENGINEERING,90,78,82,47,82,84,FIRST CLASS
SB11201210038205,M,Yes,Yes,ACADEMIC,MECHANICAL ENGINEERING,,87,87,,96,98,SECOND CLASS
SB11201210038274,F,Yes,Yes,TECHNICAL,INDUSTRIAL ENGINEERING,83,85,63,65,62,79,SECOND CLASS
SB11201210038359,M,Yes,Yes,ACADEMIC,,97,97,96,100,82,99,FIRST CLASS
SB11201210038682,M,No,Yes,TECHNICAL,CHEMICAL ENGINEERING,97,,100,49,59,94,FIRST CLASS
SB11201210038861,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,84,79,73,91,87,90,SECOND CLASS
SB11201210039098,M,Yes,Yes,ACADEMIC,CIVIL ENGINEERING,83,48,41,66,34,58,FIRST CLASS
SB11201210039571,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,88,85,84,98,63,93,FIRST CLASS
SB11201210039622,M,Yes,Yes,ACADEMIC,ELECTRIC ENGINEERING,92,89,87,90,14,87,FIRST CLASS
SB11201210047391,M,Yes,Yes,ACADEMIC,INDUSTRIAL ENGINEERING,99,29,26,90,7,60,FIRST CLASS
SB11201210048622,,Yes,Yes,TECHNICAL/ACADEMIC,ELECTRIC ENGINEERING AND TELECOMMUNICATIONS,82,97,64,77,64,87,SECOND CLASS
SB11201210048704,M,Yes,Yes,ACADEMIC,ELECTRONIC ENGINEERING,94,80,69,68,33,79,FIRST CLASS
SB11201210048792,M,Yes,Yes,ACADEMIC,ELECTRIC ENGINEERING,78,75,78,85,,79,FIRST CLASS
