location,size,total_sqft,bath,price
Electronic City Phase II,2 BHK,1056,2,39.07
Chikka Tirupathi,4 Bedroom,2600,5,120
Uttarahalli,3 BHK,1440,2,62
Lingadheeranahalli,3 BHK,1521,3,95
Kothanur,2 BHK,1200,2,51
Whitefield,2 BHK,1170,2,38
Old Airport Road,4 BHK,2732,4,204
Rajaji Nagar,4 BHK,3300,4,600
Marathahalli,3 BHK,1310,3,63.25
Gandhi Bazar,6 Bedroom,1020,6,370
Whitefield,3 BHK,1800,2,70
Whitefield,4 Bedroom,2785,5,295
7th Phase JP Nagar,2 BHK,1000,2,38
Gottigere,2 BHK,1100,2,40
Sarjapur,3 Bedroom,2250,3,148
Mysore Road,2 BHK,1175,2,73.5
Bisuvanahalli,3 BHK,1180,3,48
Raja Rajeshwari Nagar,3 BHK,1540,3,60
Ramakrishnappa Layout,3 BHK,2770,4,290
Manayata Tech Park,2 BHK,1100,2,48
Kengeri,1 BHK,600,1,15
Binny Pete,3 BHK,1755,3,122
Thanisandra,4 Bedroom,2800,5,380
Bellandur,3 BHK,1767,3,103
 Thanisandra,1 RK,510,1,25.25
Mangammanapalya,3 BHK,1250,3,56
Electronic City,2 BHK,660,1,23.1
Whitefield,3 BHK,1610,3,81
Ramagondanahalli,2 BHK,1151,2,48.77
Electronic City,3 BHK,1025,2,47
Yelahanka,4 BHK,2100 - 2850,4,186
Bisuvanahalli,3 BHK,1075,2,35
Hebbal,3 BHK,1760,2,123
Raja Rajeshwari Nagar,3 BHK,1693,3,57.39
Kasturi Nagar,3 BHK,1925,3,125
Kanakpura Road,2 BHK,700,2,36
Electronics City Phase 1,2 BHK,1070,2,45.5
Kundalahalli,3 BHK,1724,3,125
Chikkalasandra,3 BHK,1290,2,56.12
Uttarahalli,2 BHK,1143,2,45
Murugeshpalya,2 BHK,1296,2,81
Sarjapur  Road,3 BHK,1254,3,38
Ganga Nagar,1 BHK,600,1,38
Yelahanka,1 Bedroom,660,1,48
Kanakpura Road,2 BHK,1330.74,2,91.79
HSR Layout,8 Bedroom,600,9,200
Doddathoguru,2 BHK,970,2,33
Whitefield,2 BHK,1459,2,94.82
KR Puram,2 Bedroom,800,1,130
Himagiri Meadows,2 BHK,869,2,36
Adarsh Nagar,2 BHK,1270,2,50
Bhoganhalli,3 BHK,1670,3,99
Whitefield,3 BHK,2010,3,91
Lakshminarayana Pura,2 BHK,1185,2,75
Yelahanka,3 BHK,1600,2,75
Begur Road,2 BHK,1200,2,44
Devanahalli,4 Bedroom,3010 - 3410,,192
Ramakrishnappa Layout,2 BHK,1500,2,185
Murugeshpalya,6 Bedroom,1407,4,150
Govindaraja Nagar Ward,2 BHK,840,2,45
Tharabanahalli,3 Bedroom,4395,3,240
Ganga Nagar,2 BHK,845,2,55
Whitefield,4 Bedroom,5700,5,650
Varthur,2 BHK,1160,2,44
Bommanahalli,8 Bedroom,3000,8,140
Doddathoguru,2 BHK,1100,2,62
Gunjur,2 BHK,1140,2,43
Marathahalli,2 BHK,1220,2,57
Devarachikkanahalli,8 Bedroom,1350,7,85
Kanakpura Road,2 BHK,1005,2,36.68
Double Road,3 Bedroom,500,3,100
Begur Road,2 BHK,1358,2,80.58
Hegde Nagar,3 BHK,1569,3,101
Haralur Road,2 BHK,1240,2,70
Hennur Road,3 BHK,2089,3,140
Kothannur,2 BHK,1206,2,48.23
Kalena Agrahara,2 BHK,1150,2,40
Cholanayakanahalli,3 BHK,2511,3,205
Kaval Byrasandra,2 BHK,460,1,22
ISRO Layout,6 Bedroom,4400,6,250
Kodanda Reddy Layout,3 BHK,1660,2,105
Hennur Road,4 Bedroom,2957 - 3450,,224.5
Yelahanka,2 BHK,1326,2,78
Garudachar Palya,3 BHK,1325,2,60.8
EPIP Zone,3 BHK,1499,5,102
Hegde Nagar,6 Bedroom,3000,7,210
Kanakpura Road,3 BHK,1665,3,88
Dasanapura,2 BHK,708,2,37
Kasavanhalli,2 BHK,1060,2,58.06
Rajaji Nagar,6 Bedroom,710,6,160
Sanjay nagar,2 BHK,1000,2,70
Electronic City,2 BHK,1000,2,28.88
 Mysore Highway,3 BHK,1450,2,70
ISRO Layout,4 Bedroom,1200,4,155
Thanisandra,2 BHK,1296,2,80
Domlur,3 BHK,1540,3,90
Kengeri,4 Bedroom,2894,4,245
Sarjapura - Attibele Road,3 BHK,1330,2,48
Devasthanagalu,2 BHK,1200,2,65
T Dasarahalli,3 Bedroom,1200,3,90
Yeshwanthpur,3 BHK,2502,3,138
Chandapura,2 BHK,650,1,17
Kothanur,3 Bedroom,2400,2,150
Green View Layout,2 BHK,1007,2,43
Shantiniketan Layout,2 BHK,1200,2,50
Peenya,2 BHK,966,2,49.9
Nagarbhavi,3 BHK,1630,2,98
Rajaji Nagar,3 BHK,1640,3,229
Jalahalli West,2 BHK,782,2,55.68
Devanahalli,2 BHK,1260,2,66.78
Lakshmiamma Garden,3 BHK,1800,3,120
Byatarayanapura,3 BHK,1413,2,75
Whitefield,2 BHK,1116,2,51.91
Electronic City,3 BHK,1530,2,45.9
Ramamurthy Nagar,4 Bedroom,3700,4,225
Sarjapur  Road,3 Bedroom,2497,3,140
Kengeri,3 BHK,1540,2,64
Thanisandra,3 BHK,1436,3,74.75
Malleshwaram,2 BHK,1100,2,75
Hennur Road,2 Bedroom,276,3,23
Thanisandra,3 BHK,1427,3,120
Akshaya Nagar,3 BHK,2061,3,200
Hebbal,4 BHK,3067 - 8156,4,477
Shampura,4 BHK,2650,4,150
Devanahalli,3 BHK,1282,2,68.52
Kadugodi,2 BHK,1050,2,34
LB Shastri Nagar,3 BHK,1600,3,65
Vajarahalli,2 BHK,945,2,54
Hormavu,2 BHK,1500,2,78
Vishwapriya Layout,7 Bedroom,950,7,115
Peenya,3 BHK,1870,3,110
Sarjapur,3 Bedroom,1600,3,75
Electronic City,2 BHK,880,1,16.5
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200,4,210
Kudlu Gate,3 BHK,1535,3,83
Kanakpura Road,2 BHK,950,2,57
Devanahalli,2 BHK,1360,2,65
8th Phase JP Nagar,2 BHK,1042 - 1105,2,54.005
Bommasandra Industrial Area,3 BHK,1280,3,50.4
Chandra Layout,3 BHK,1260,2,85.05
Hennur Road,8 Bedroom,5000,8,250
Yelahanka,5 BHK,3050,5,213
Kasavanhalli,3 BHK,1563.05,3,105
ISRO Layout,2 BHK,1000,2,60
Anandapura,2 BHK,1167,2,43.76
Vishveshwarya Layout,7 BHK,4000,7,225
Kothanur,3 BHK,1828,3,110
Kengeri Satellite Town,2 BHK,890,2,35
Basavanapura,3 BHK,1612,3,46.74
Dinnur,6 Bedroom,1034,5,185
Mysore Road,3 BHK,1710,4,91.31
Kannamangala,2 BHK,957,2,58
 Devarachikkanahalli,3 BHK,1250,2,44
Sanjeevini Nagar,3 BHK,2795,4,235
Hulimavu,2 BHK,1125,2,50
Electronic City Phase II,2 BHK,1020,2,30.6
Kalena Agrahara,2 BHK,1200,2,50
Thanisandra,3 BHK,1735,3,135
Thanisandra,3 BHK,2050,3,145
Mahalakshmi Layout,4 Bedroom,3750,4,760
Yarandahalli,3 BHK,1350,2,48
Hosa Road,2 BHK,1063,2,32
Keshava Nagar,3 BHK,1904,3,150
Whitefield,4 Bedroom,4200,4,420
RMV Extension,3 BHK,2000,3,175
Sarjapur,2 BHK,1145 - 1340,2,43.49
Tejaswini Nagar,3 BHK,1425,2,75
Electronic City,3 BHK,1500,2,64.5
Electronic City,2 BHK,1060,2,60
Jai Bheema Nagar,3 BHK,1470,2,70
Kothnur Narayanapura,6 BHK,1300,6,99
Attibele,1 BHK,450,1,11
Electronic City,2 BHK,1152,2,64.5
Electronic City,3 BHK,1350,2,56
CV Raman Nagar,3 BHK,1550,3,65
CHIKKATIRUPATHI,3 Bedroom,1500,3,100
Kumaraswami Layout,5 Bedroom,600,3,85
Nagavara,1 Bedroom,400,1,14
Malleshwaram,1 BHK,705,1,67
Electronic City,2 BHK,770,1,36
Hulimavu,2 BHK,1242,2,51
Hebbal Kempapura,3 BHK,1700,3,155
Thanisandra,3 BHK,2144,3,145
Vijayanagar,3 BHK,1704,3,110
Electronic City,2 BHK,1070,2,52
8th block Koramangala,3 Bedroom,1846,3,300
Jakkuru Layout,2 BHK,1340,2,55.7
Electronic City,2 BHK,1025,2,46
KR Puram,2 BHK,1015 - 1540,2,56.8
Marathahalli,2 BHK,1200,2,52
Kanakpura Road,4 Bedroom,2250,4,110
Pattandur Agrahara,3 BHK,1550,2,80
Bellandur,4 Bedroom,1200,5,325
Ejipura,7 Bedroom,1800,7,250
Marathahalli,2 BHK,1200,2,60
Yelahanka,2 BHK,1327,2,98
Kothanur,2 BHK,1186,2,58
MS Pallya,3 Bedroom,1783,3,115
HSR Layout,3 BHK,1400,3,56
Nagasandra,2 BHK,980,2,48
EPIP Zone,2 BHK,1285,2,82
Langford Town,3 BHK,912,2,70
Whitefield,2 BHK,1225,2,47.6
Whitefield,2 BHK,1075,2,53
Kadugodi,3 BHK,1260,2,54
Yelahanka,3 BHK,1282,2,48.7
Kogilu,3 BHK,1909,3,88
Panathur,2 BHK,1359,2,87
Nagondanahalli,2 BHK,1207,2,43.5
Padmanabhanagar,4 Bedroom,1736,6,190
1st Block Jayanagar,4 BHK,2850,4,428
Kammasandra,3 BHK,1595,3,65
"Off Sarjapur Road, ",3 BHK,1798,3,89
Electronics City Phase 1,3 BHK,1475,3,78.29
Tala Cauvery Layout,3 BHK,1580,3,100
Dasarahalli,2 BHK,1295,2,65
Magadi Road,6 Bedroom,3600,6,141
Electronic City,1 BHK,589,1,27
Ngef Layout,3 BHK,1415,3,78
Sarjapur  Road,3 BHK,1787,3,98.29
Sarjapur  Road,3 BHK,1787,3,125
Koramangala,3 BHK,1475,2,90
"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000,4,75.5
Sarjapur  Road,2 BHK,984,2,44.28
Devanahalli,3 BHK,1520 - 1740,,74.82
Muthurayya Swamy Layout,3 BHK,2405,4,260
7th Phase JP Nagar,2 BHK,1080,2,72
Shantiniketan Layout,2 Bedroom,1500,2,115
Hebbal,3 BHK,1900,3,119
Dommasandra,2 BHK,805,2,22.14
Budigere,2 BHK,1153,2,56.4
Dodda Nekkundi Extension,2 BHK,1148,2,60
Mylasandra,2 BHK,1110,2,55
Electronic City,2 BHK,1100,2,42
Kalyan nagar,2 BHK,1290,2,110
Dr Shivarama Karantha Nagar,3 BHK,1500,2,65
Bank Of Baroda Colony,2 BHK,1080,2,39
Vijayanagar,3 BHK,1933,3,129
Ramamurthy Nagar,5 Bedroom,3500,5,150
Kullappa Colony,2 BHK,1060,2,60
Chandapura,1 BHK,645,1,16.45
Mukkutam Nagar,8 Bedroom,2600,8,180
Chandapura,1 BHK,645,1,16.45
Ashwath Nagar,3 BHK,1644,3,84
Ncpr Industrial Layout,2 BHK,1285,2,72.5
Electronic City,3 Bedroom,1200,3,90
Electronic City,2 BHK,910,2,40
Kothanur,3 BHK,1577,3,70
Meenakunte,3 Bedroom,4050,3,280
OMBR Layout,3 BHK,2420,3,185
Chandapura,2 BHK,800,1,20
Anand Nagar,2 BHK,1060,2,55
7th Phase JP Nagar,2 BHK,1270,2,93
Shree Ananth Nagar Layout,2 BHK,900,2,22.5
Kundalahalli Colony,2 Bedroom,1280,2,69
Horamavu Agara,4 Bedroom,1200,2,95
Sarjapur  Road,2 BHK,1025,2,36
Electronic City,2 BHK,1108,2,63
MCECHS  layout,5 Bedroom,1200,5,170
Coffee Board Layout,3 BHK,3045,3,170
Ambedkar Nagar,4 Bedroom,2900,3,300
Vijayanagar,3 BHK,1500,3,75.5
Raja Rajeshwari Nagar,2 BHK,1295,2,43.9
Budigere,2 BHK,1162,2,59.9
Sarjapur  Road,2 BHK,1035,2,49.2
Attibele,4 Bedroom,1600,4,52.8
KUDLU MAIN ROAD,3 BHK,1464,3,46
Hennur Road,3 BHK,1866,2,61.58
Geleyara Balaga Layout,2 BHK,700,1,26
Kalena Agrahara,3 BHK,1804,3,120
Sarjapur,2 BHK,913,2,32
Talaghattapura,3 BHK,1868,3,131
Kengeri Satellite Town,2 BHK,883,2,45
Sundara Nagar,2 Bedroom,900,2,110
Kogilu,3 BHK,1664,2,73.95
Hegde Nagar,3 BHK,2026,3,132
Balagere,2 BHK,1210,2,80.9
Meenakunte,4 Bedroom,4111,4,250
Kadugodi,3 BHK,1762,3,91.45
Jigani,3 BHK,1252,3,55
Gollarapalya Hosahalli,2 BHK,861,2,34.5
7th Phase JP Nagar,3 BHK,1420,2,100
Srirampura,6 Bedroom,1450,6,250
Electronics City Phase 1,3 BHK,1490,3,78.8
Bisuvanahalli,3 BHK,1075,2,46
Old Madras Road,3 BHK,1425,2,94
Kalena Agrahara,2 BHK,1200,2,40
Kaggadasapura,3 BHK,1280,2,56
Silver Springs Layout,2 BHK,1084,2,50
Chandapura,2 BHK,1015,2,25.88
Kanakpura Road,2 BHK,1017,2,51.25
Haralur Road,2 BHK,1027,2,44
Electronic City Phase II,2 BHK,1069,2,45
Hebbal,2 BHK,1349,2,98.2
9th Phase JP Nagar,2 BHK,1005,2,50
Jakkur,2 BHK,1417,2,75
TC Palaya,3 Bedroom,1475,3,98
Maruthi Sevanagar,2 BHK,950,2,47
RMV 2nd Stage,4 BHK,2000,4,120
Giri Nagar,3 Bedroom,880,3,140
Sarjapur  Road,4 BHK,1863,3,104
Singasandra,2 BHK,1010,2,29.5
Kalena Agrahara,3 BHK,1425,2,70
Vijayanagar,3 BHK,1450,3,100
Kothanur,3 BHK,1847,3,105
AECS Layout,2 BHK,1100,2,45
Kanakpura Road,1 BHK,525,1,26
Mallasandra,3 BHK,1665,3,95
Begur,4 BHK,1664,4,65
JP Nagar,3 BHK,1850,3,150
Panathur,2 BHK,1438,2,100
Sunder Ram Shetty Nagar,3 BHK,1560,3,115
Yelahanka,2 BHK,1350,2,55.55
Kanakpura Road,3 BHK,1550,3,67
Malleshpalya,2 BHK,1140,2,46.5
Srirampura,5 Bedroom,1200,5,180
Kodathi,2 BHK,850,2,27
Whitefield,2 BHK,1280,2,75
Munnekollal,2 BHK,1170,2,52
Motappa Layout,2 BHK,1113,2,51
Hennur Road,2 BHK,1385,2,83.09
Electronic City,2 BHK,1128,2,65
Marathahalli,2 Bedroom,1200,2,128
Akshaya Vana,4 Bedroom,1200,4,165
Rajaji Nagar,3 BHK,2390,3,415
Giri Nagar,4 Bedroom,2400,4,400
Haralur Road,3 BHK,1464,3,56
Manayata Tech Park,2 BHK,1200,2,55
Kaval Byrasandra,2 BHK,1200,2,52
Kaggalipura,3 BHK,1150,2,55
Basavanna Nagar,3 BHK,1645,3,95
Sarjapur  Road,2 BHK,1000,2,67
Haralur Road,4 Bedroom,2650,4,198
6th Phase JP Nagar,2 BHK,1192,2,74
Ulsoor,3 BHK,2135,3,215
Whitefield,2 BHK,1173,2,58
Uttarahalli,2 BHK,1020,2,45
Thigalarapalya,4 BHK,3122,6,230
